query_id,k,recall,precision,n_relevant
07-2P-007,5,1.0,1.0,36
07-2P-007,10,1.0,1.0,36
07-2P-007,20,1.0,1.0,36
07-2P-007,36,0.9444444444444444,0.9444444444444444,36
06-1P-004B,5,1.0,1.0,45
06-1P-004B,10,1.0,1.0,45
06-1P-004B,20,1.0,1.0,45
06-1P-004B,45,0.9555555555555556,0.9555555555555556,45
05-3P-001C,10,1.0,1.0,66
05-3P-001C,20,1.0,1.0,66
05-3P-001C,50,1.0,1.0,66
05-3P-001C,66,0.9545454545454546,0.9545454545454546,66
07-3P-001,5,1.0,1.0,28
07-3P-001,10,1.0,1.0,28
07-3P-001,20,1.0,1.0,28
07-3P-001,28,0.8928571428571429,0.8928571428571429,28
07-1P-004,5,1.0,1.0,10
07-1P-004,10,0.9,0.9,10
07-2P-006,5,1.0,1.0,36
07-2P-006,10,1.0,1.0,36
07-2P-006,20,1.0,1.0,36
07-2P-006,36,0.8611111111111112,0.8611111111111112,36
05-3P-002,5,1.0,1.0,28
05-3P-002,10,1.0,1.0,28
05-3P-002,20,1.0,1.0,28
05-3P-002,28,0.9642857142857143,0.9642857142857143,28
06-3P-008,5,1.0,1.0,28
06-3P-008,10,1.0,1.0,28
06-3P-008,20,1.0,1.0,28
06-3P-008,28,0.9642857142857143,0.9642857142857143,28
07-2P-009,1,1.0,1.0,6
07-2P-009,3,1.0,1.0,6
07-2P-009,6,1.0,1.0,6
07-1P-006,10,1.0,1.0,55
07-1P-006,20,1.0,1.0,55
07-1P-006,50,0.98,0.98,55
07-1P-006,55,0.9272727272727272,0.9272727272727272,55
06-3P-006,5,1.0,1.0,10
06-3P-006,10,1.0,1.0,10
06-1P-009,1,1.0,1.0,3
06-1P-009,3,1.0,1.0,3
05-CWP-011,5,1.0,1.0,15
05-CWP-011,10,1.0,1.0,15
05-CWP-011,15,0.8666666666666667,0.8666666666666667,15
06-1P-008F,10,1.0,1.0,120
06-1P-008F,20,1.0,1.0,120
06-1P-008F,50,1.0,1.0,120
06-1P-008F,120,0.9083333333333333,0.9083333333333333,120
07-1P-010,5,1.0,1.0,15
07-1P-010,10,1.0,1.0,15
07-1P-010,15,0.9333333333333333,0.9333333333333333,15
06-1P-015,1,1.0,1.0,3
06-1P-015,3,0.6666666666666666,0.6666666666666666,3
04-CWP-005,10,1.0,1.0,78
04-CWP-005,20,1.0,1.0,78
04-CWP-005,50,1.0,1.0,78
04-CWP-005,78,0.9358974358974359,0.9358974358974359,78
07-1P-007,5,1.0,1.0,15
07-1P-007,10,1.0,1.0,15
07-1P-007,15,0.9333333333333333,0.9333333333333333,15
06-1P-010,1,1.0,1.0,3
06-1P-010,3,1.0,1.0,3
07-3P-002,1,1.0,1.0,3
07-3P-002,3,1.0,1.0,3
06-5P-007,5,1.0,1.0,28
06-5P-007,10,1.0,1.0,28
06-5P-007,20,1.0,1.0,28
06-5P-007,28,0.9285714285714286,0.9285714285714286,28
07-2P-005,5,1.0,1.0,10
07-2P-005,10,0.9,0.9,10
06-1P-014D,10,1.0,1.0,120
06-1P-014D,20,1.0,1.0,120
06-1P-014D,50,1.0,1.0,120
06-1P-014D,120,0.925,0.925,120
06-3P-001,10,1.0,1.0,78
06-3P-001,20,1.0,1.0,78
06-3P-001,50,1.0,1.0,78
06-3P-001,78,0.9230769230769231,0.9230769230769231,78
